,,,,,,,,,,,,,,,,,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ",Banana,Musa ×paradisiaca L.,Musaceae,,,01/01,31/12,500,,null-null,480 null,01/01,31/12,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ",Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,,12/05,25/05,100,,null-null,100-165 null,20/09,15/10,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ",Maize,Zea mays L.,Poaceae,Corn,,01/01,31/12,25,,null-null,105-120 null,01/01,31/12,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ",Rice,Oryza sativa L.,Poaceae,,,01/01,31/12,60,,null-null,67-115 null,01/01,31/12,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ",Sorghum,Sorghum bicolor (L.) Moench,Poaceae,,,01/01,31/12,5,,null-null,121-130 null,01/01,31/12,
Ethiopia,Arid agro ecology (Hot to warm lowland plains and tepid to cool mid highlands),"The zone covers Afar region, Dire Dawa area, Alemaya, part of Somalia region and part of Negele borena in the Afar, Oromiya, Somaliya National Regional Stats and Dire Dawa Administrative Council. ","Nomadic pastoralism i.e. Livestock rearing (goat, sheep, camel and cattle) are widly practiced besides sorghum and chat cultivation.   ","Wheat, common",Triticum aestivum L.,Poaceae,"Wheat, bread",,01/01,31/12,150,,null-null,104-170 null,01/01,31/12,
Ethiopia,"Humid agro-ecology (hot to warm lowlands, tepid to cool mid highlands and cold to very cold humid sub-afroalpine to afroalpine)","Tepi, Jinka, Konso, Derashe, Masha and Sidama zone in the Southern Nations and Nationalities People Regional state, Jima zone, Arsi zone (Ticho, Adelle, Mount Chilalo and Kaka), Bale zone (Dinsho and the surrounding area) in Oromiya National Regional Stat","Cereal based, enset based and shifting cultivation are the common agricultural practices along with animal rearing.",Banana,Musa ×paradisiaca L.,Musaceae,,,01/01,31/12,500,,null-null,523 null,01/01,31/12,
Ethiopia,"Humid agro-ecology (hot to warm lowlands, tepid to cool mid highlands and cold to very cold humid sub-afroalpine to afroalpine)","Tepi, Jinka, Konso, Derashe, Masha and Sidama zone in the Southern Nations and Nationalities People Regional state, Jima zone, Arsi zone (Ticho, Adelle, Mount Chilalo and Kaka), Bale zone (Dinsho and the surrounding area) in Oromiya National Regional Stat","Cereal based, enset based and shifting cultivation are the common agricultural practices along with animal rearing.","Banana, Abyssinian",Ensete ventricosum (Welw.) Cheesman,Musaceae,Enset,,01/01,31/12,"2,000",,null-null,3-4 null,01/01,31/12,
Ethiopia,"Humid agro-ecology (hot to warm lowlands, tepid to cool mid highlands and cold to very cold humid sub-afroalpine to afroalpine)","Tepi, Jinka, Konso, Derashe, Masha and Sidama zone in the Southern Nations and Nationalities People Regional state, Jima zone, Arsi zone (Ticho, Adelle, Mount Chilalo and Kaka), Bale zone (Dinsho and the surrounding area) in Oromiya National Regional Stat","Cereal based, enset based and shifting cultivation are the common agricultural practices along with animal rearing.",Barley,Hordeum vulgare L.,Poaceae,,First season,05/02,30/04,125,,null-null,91-174 null,15/06,31/07,
Ethiopia,"Humid agro-ecology (hot to warm lowlands, tepid to cool mid highlands and cold to very cold humid sub-afroalpine to afroalpine)","Tepi, Jinka, Konso, Derashe, Masha and Sidama zone in the Southern Nations and Nationalities People Regional state, Jima zone, Arsi zone (Ticho, Adelle, Mount Chilalo and Kaka), Bale zone (Dinsho and the surrounding area) in Oromiya National Regional Stat","Cereal based, enset based and shifting cultivation are the common agricultural practices along with animal rearing.",Barley,Hordeum vulgare L.,Poaceae,,Second season,15/05,31/08,125,,null-null,91-174 null,15/10,15/01,
